 Market,Reference ID (buy),Reference ID (sell),Barrier,Start Time,Entry Spot,Entry Spot Time,Exit Spot,Exit Spot Time,Buy Price,Profit/Loss
Volatility 100 Index,14337956419,14337972399,586.88,2026-07-30 19:11:06.000 GMT,586.88,2026-07-30 19:11:08.000 GMT,586.72,2026-07-30 19:11:10.000 GMT,1.00,-1.00
Volatility 100 Index,14337920839,14337945399,586.37,2026-07-30 19:10:56.000 GMT,586.37,2026-07-30 19:10:58.000 GMT,586.46,2026-07-30 19:11:00.000 GMT,1.00,-1.00
Volatility 100 Index,14337893379,14337906619,586.84,2026-07-30 19:10:48.000 GMT,586.84,2026-07-30 19:10:50.000 GMT,586.72,2026-07-30 19:10:52.000 GMT,1.00,-1.00
Volatility 100 Index,14337864599,14337878399,586.78,2026-07-30 19:10:40.000 GMT,586.78,2026-07-30 19:10:42.000 GMT,586.79,2026-07-30 19:10:44.000 GMT,1.00,0.92
Volatility 100 Index,14337828699,14337849139,586.59,2026-07-30 19:10:30.000 GMT,586.59,2026-07-30 19:10:32.000 GMT,586.49,2026-07-30 19:10:34.000 GMT,1.00,-1.00
Volatility 100 Index,14337801459,14337814499,586.46,2026-07-30 19:10:22.000 GMT,586.46,2026-07-30 19:10:24.000 GMT,586.26,2026-07-30 19:10:26.000 GMT,1.00,-1.00
Volatility 100 Index,14337774299,14337788199,586.51,2026-07-30 19:10:14.000 GMT,586.51,2026-07-30 19:10:16.000 GMT,586.20,2026-07-30 19:10:18.000 GMT,1.00,0.92
Volatility 100 Index,14337747679,14337761159,586.42,2026-07-30 19:10:06.000 GMT,586.42,2026-07-30 19:10:08.000 GMT,586.37,2026-07-30 19:10:10.000 GMT,1.00,0.92
Volatility 100 Index,14337717619,14337735059,586.31,2026-07-30 19:09:58.000 GMT,586.31,2026-07-30 19:10:00.000 GMT,586.31,2026-07-30 19:10:02.000 GMT,1.00,-1.00
Volatility 100 Index,14337690099,14337704439,586.34,2026-07-30 19:09:50.000 GMT,586.34,2026-07-30 19:09:52.000 GMT,586.29,2026-07-30 19:09:54.000 GMT,1.00,-1.00
Volatility 100 Index,14337391499,14337410419,585.26,2026-07-30 19:08:24.000 GMT,585.26,2026-07-30 19:08:26.000 GMT,585.34,2026-07-30 19:08:28.000 GMT,1.00,-1.00
Volatility 100 Index,14337365799,14337378679,585.65,2026-07-30 19:08:16.000 GMT,585.65,2026-07-30 19:08:18.000 GMT,585.51,2026-07-30 19:08:20.000 GMT,1.00,-1.00
Volatility 100 Index,14337339299,14337355139,585.16,2026-07-30 19:08:08.000 GMT,585.16,2026-07-30 19:08:10.000 GMT,585.13,2026-07-30 19:08:12.000 GMT,1.00,-1.00
Volatility 100 Index,14337311379,14337327259,585.11,2026-07-30 19:08:00.000 GMT,585.11,2026-07-30 19:08:02.000 GMT,585.40,2026-07-30 19:08:04.000 GMT,1.00,0.92
Volatility 100 Index,14337284179,14337299379,585.23,2026-07-30 19:07:52.000 GMT,585.23,2026-07-30 19:07:54.000 GMT,585.08,2026-07-30 19:07:56.000 GMT,1.00,0.92
Volatility 100 Index,14337250939,14337266879,585.32,2026-07-30 19:07:44.000 GMT,585.32,2026-07-30 19:07:46.000 GMT,585.37,2026-07-30 19:07:48.000 GMT,1.00,0.92
Volatility 100 Index,14337224479,14337239199,584.78,2026-07-30 19:07:36.000 GMT,584.78,2026-07-30 19:07:38.000 GMT,584.91,2026-07-30 19:07:40.000 GMT,1.00,-1.00
Volatility 100 Index,14337199119,14337212979,584.67,2026-07-30 19:07:28.000 GMT,584.67,2026-07-30 19:07:30.000 GMT,584.80,2026-07-30 19:07:32.000 GMT,1.00,0.92
Volatility 100 Index,14337173439,14337186119,584.33,2026-07-30 19:07:20.000 GMT,584.33,2026-07-30 19:07:22.000 GMT,584.30,2026-07-30 19:07:24.000 GMT,1.00,0.92
Volatility 100 Index,14337146979,14337162239,584.80,2026-07-30 19:07:13.000 GMT,584.80,2026-07-30 19:07:14.000 GMT,584.77,2026-07-30 19:07:16.000 GMT,1.00,0.92
Volatility 100 Index,14337107519,14337132399,584.45,2026-07-30 19:07:02.000 GMT,584.45,2026-07-30 19:07:04.000 GMT,584.47,2026-07-30 19:07:06.000 GMT,1.00,0.92
Volatility 100 Index,14337081219,14337098559,584.21,2026-07-30 19:06:55.000 GMT,584.21,2026-07-30 19:06:56.000 GMT,584.09,2026-07-30 19:06:58.000 GMT,1.00,0.92
Volatility 100 Index,14337053519,14337068379,583.91,2026-07-30 19:06:46.000 GMT,583.91,2026-07-30 19:06:48.000 GMT,584.10,2026-07-30 19:06:50.000 GMT,1.00,0.92
Volatility 100 Index,14337015359,14337038239,583.76,2026-07-30 19:06:36.000 GMT,583.76,2026-07-30 19:06:38.000 GMT,583.90,2026-07-30 19:06:40.000 GMT,1.00,-1.00
Volatility 100 Index,14336987859,14337004199,584.12,2026-07-30 19:06:28.000 GMT,584.12,2026-07-30 19:06:30.000 GMT,584.06,2026-07-30 19:06:32.000 GMT,1.00,0.92
Volatility 100 Index,14336961559,14336975519,584.37,2026-07-30 19:06:20.000 GMT,584.37,2026-07-30 19:06:22.000 GMT,584.47,2026-07-30 19:06:24.000 GMT,1.00,0.92
